Year,Region,Value
2010,Asturias,3.59952223044087
2011,Asturias,0.00303209040511784
2012,Asturias,0.415170208858354
2013,Asturias,0.388515110314309
2014,Asturias,0.469803272212498
2015,Asturias,0.909387715496952
2016,Asturias,0.946267866596091
2017,Asturias,-0.129194524474769
2018,Asturias,-0.595475383695422
2019,Asturias,-0.513141728299885
2020,Asturias,-5.84637742367852
2010,España,1.94
2011,España,1.77
2012,España,1.1
2013,España,1.03
2014,España,0.34
2015,España,1.01
2016,España,0.88
2017,España,0.33
2018,España,0.08
2019,España,-0.7
2020,España,-6.99
