Year,Region,Value
2010,Asturias,24.99
2011,Asturias,24.25
2012,Asturias,23.59
2013,Asturias,24.04
2014,Asturias,23.84
2015,Asturias,24.19
2016,Asturias,24.61
2017,Asturias,23.82
2018,Asturias,21.84
2019,Asturias,21.8
2020,Asturias,22.11
2021,Asturias,22.53
2022,Asturias,21.64
2010,España,17.2
2011,España,16.58
2012,España,16.52
2013,España,16.63
2014,España,17.48
2015,España,17.58
2016,España,17.6
2017,España,17.99
2018,España,17.78
2019,España,17.44
2020,España,17.72
2021,España,17.41
2022,España,16.85
